country_code,year,ucdp_events
LBR,1989,6
LBR,1990,139
LBR,1991,21
LBR,1992,27
LBR,1993,47
LBR,1994,96
LBR,1995,54
LBR,1996,34
LBR,1997,3
LBR,1998,1
LBR,1999,3
LBR,2000,5
LBR,2001,27
LBR,2002,44
LBR,2003,53
LBR,2019,1
LEB,1989,190
LEB,1990,72
LEB,1991,12
LEB,1992,20
LEB,1993,19
LEB,1994,21
LEB,1995,26
LEB,1996,16
LEB,1997,13
LEB,1998,16
LEB,1999,16
LEB,2000,18
LEB,2008,5
LEB,2012,6
LEB,2013,23
LEB,2014,25
LEB,2015,17
LEB,2016,9
LEB,2017,18
LEB,2018,1
LES,1998,5
LIB,1989,1
LIB,2011,235
LIB,2012,6
LIB,2013,16
LIB,2014,105
LIB,2015,136
LIB,2016,174
LIB,2017,79
LIB,2018,107
LIB,2019,188
MAA,1989,23
MAA,1990,3
MAA,1992,1
MAA,2008,1
MAA,2010,3
MAA,2011,8
MAA,2012,2
MAC,2000,1
MAC,2001,54
MAG,2002,32
MAG,2009,7
MAG,2012,3
MAG,2017,1
MAG,2019,3
MAL,2013,3
MEX,1989,2
MEX,1990,3
MEX,1992,3
MEX,1993,3
MEX,1994,12
MEX,1995,4
MEX,1996,15
MEX,1997,6
MEX,1998,5
MEX,2002,2
MEX,2004,30
MEX,2005,12
MEX,2006,39
MEX,2007,186
MEX,2008,99
MEX,2009,235
MEX,2010,276
MEX,2011,262
MEX,2012,196
MEX,2013,164
MEX,2014,141
MEX,2015,213
MEX,2016,86
MEX,2017,100
MEX,2018,151
MEX,2019,189
MLD,1992,77
MLI,1990,15
MLI,1991,11
MLI,1992,8
MLI,1993,1
MLI,1994,41
MLI,1995,4
MLI,1999,4
MLI,2004,2
MLI,2007,8
MLI,2008,10
MLI,2009,8
MLI,2012,43
MLI,2013,89
MLI,2014,28
MLI,2015,53
MLI,2016,50
MLI,2017,121
MLI,2018,229
MLI,2019,254
MOR,1989,6
MOR,1991,2
MOR,2003,2
MOR,2007,1
MYA,1989,35
MYA,1990,32
MYA,1991,31
MYA,1992,46
MYA,1993,11
MYA,1994,81
MYA,1995,91
MYA,1996,80
MYA,1997,89
MYA,1998,126
MYA,1999,130
MYA,2000,175
MYA,2001,94
MYA,2002,100
MYA,2003,64
MYA,2004,84
MYA,2005,81
MYA,2006,113
MYA,2007,175
MYA,2008,64
MYA,2009,37
MYA,2010,51
MYA,2011,263
MYA,2012,77
MYA,2013,86
MYA,2014,35
MYA,2015,199
MYA,2016,57
MYA,2017,88
MYA,2018,73
MYA,2019,147
MZM,1989,135
MZM,1990,53
MZM,1991,52
MZM,1992,34
MZM,2004,1
MZM,2005,1
MZM,2012,1
MZM,2013,17
MZM,2014,12
MZM,2015,1
MZM,2016,28
MZM,2017,1
MZM,2018,47
MZM,2019,116
NEP,1990,9
NEP,1992,1
NEP,1993,3
NEP,1994,1
NEP,1995,1
NEP,1996,53
NEP,1997,37
NEP,1998,218
NEP,1999,244
NEP,2000,186
NEP,2001,229
NEP,2002,1531
NEP,2003,885
NEP,2004,1360
NEP,2005,649
NEP,2006,215
NEP,2007,19
NEP,2008,9
NEP,2009,2
NEP,2019,2
NIC,1989,21
NIC,1990,6
NIG,1990,2
NIG,1991,4
NIG,1992,12
NIG,1993,8
NIG,1994,15
NIG,1995,1
NIG,1996,5
NIG,1997,22
NIG,1998,30
NIG,1999,42
NIG,2000,30
NIG,2001,40
NIG,2002,43
NIG,2003,62
NIG,2004,84
NIG,2005,19
NIG,2006,21
NIG,2007,21
NIG,2008,27
NIG,2009,40
NIG,2010,91
NIG,2011,252
NIG,2012,406
NIG,2013,328
NIG,2014,590
NIG,2015,319
NIG,2016,358
NIG,2017,521
NIG,2018,406
NIG,2019,481
NIR,1990,2
NIR,1991,9
NIR,1992,11
NIR,1993,1
NIR,1994,11
NIR,1995,7
NIR,1996,3
NIR,1997,9
NIR,1998,2
NIR,2007,22
NIR,2008,12
NIR,2015,15
NIR,2016,13
NIR,2017,11
NIR,2018,12
NIR,2019,33
PAK,1989,20
PAK,1990,46
PAK,1991,15
PAK,1992,8
PAK,1993,13
PAK,1994,37
PAK,1995,22
PAK,1996,19
PAK,1997,15
PAK,1998,18
PAK,1999,86
PAK,2001,1
PAK,2002,17
PAK,2003,92
PAK,2004,9
PAK,2005,13
PAK,2006,25
PAK,2007,199
PAK,2008,625
PAK,2009,827
PAK,2010,825
PAK,2011,551
PAK,2012,604
PAK,2013,321
PAK,2014,386
PAK,2015,249
PAK,2016,128
PAK,2017,111
PAK,2018,63
PAK,2019,71
PAN,1989,3
PAR,1989,1
PER,1989,172
PER,1990,140
PER,1991,123
PER,1992,127
PER,1993,72
PER,1994,35
PER,1995,19
PER,1996,25
PER,1997,19
PER,1998,9
PER,1999,16
PER,2000,4
PER,2001,3
PER,2002,6
PER,2003,4
PER,2004,2
PER,2005,1
PER,2006,3
PER,2007,9
PER,2008,13
PER,2009,13
PER,2010,13
PER,2011,11
PER,2013,1
PER,2014,8
PER,2015,4
PER,2016,2
PER,2017,2
PER,2019,1
PHI,1989,135
PHI,1990,126
PHI,1991,112
PHI,1992,59
PHI,1993,45
PHI,1994,40
PHI,1995,18
PHI,1996,26
PHI,1997,40
PHI,1998,23
PHI,1999,48
PHI,2000,171
PHI,2001,146
PHI,2002,211
PHI,2003,153
PHI,2004,135
PHI,2005,124
PHI,2006,131
PHI,2007,103
PHI,2008,182
PHI,2009,155
PHI,2010,119
PHI,2011,149
PHI,2012,109
PHI,2013,150
PHI,2014,149
PHI,2015,203
PHI,2016,167
PHI,2017,251
PHI,2018,118
PHI,2019,128
PNG,1989,6
PNG,1990,15
PNG,1991,3
PNG,1992,16
PNG,1993,13
PNG,1994,6
PNG,1995,11
PNG,1996,26
PNG,1997,4
PNG,1999,2
PNG,2000,2
PNG,2001,6
PNG,2002,3
PNG,2012,4
PNG,2019,3
RUM,1989,16
RUS,1989,6
RUS,1990,28
RUS,1991,56
RUS,1992,1
RUS,1993,12
RUS,1994,31
RUS,1995,206
RUS,1996,147
RUS,1997,5
RUS,1998,3
RUS,1999,67
RUS,2000,176
RUS,2001,159
RUS,2002,390
RUS,2003,73
RUS,2004,254
RUS,2005,247
RUS,2006,152
RUS,2007,145
RUS,2008,192
RUS,2009,315
RUS,2010,269
RUS,2011,242
RUS,2012,223
RUS,2013,179
RUS,2014,75
RUS,2015,32
RUS,2016,28
RUS,2017,28
RUS,2018,19
RUS,2019,12
RWA,1990,36
RWA,1991,38
RWA,1992,32
RWA,1993,35
RWA,1994,1590
RWA,1995,7
RWA,1996,49
RWA,1997,73
RWA,1998,71
RWA,1999,8
RWA,2000,12
RWA,2001,28
RWA,2002,3
RWA,2004,9
RWA,2005,14
RWA,2006,15
RWA,2007,21
RWA,2008,9
RWA,2009,320
RWA,2010,32
RWA,2011,38
RWA,2012,42
RWA,2013,3
RWA,2014,4
RWA,2015,10
RWA,2016,41
RWA,2017,22
RWA,2018,13
RWA,2019,36
SAF,1989,225
SAF,1990,563
SAF,1991,448
SAF,1992,572
SAF,1993,578
SAF,1994,260
SAF,1995,39
SAF,1996,37
SAF,1997,20
SAF,1998,23
SAF,1999,11
SAF,2000,1
SAF,2002,3
SAF,2004,4
SAF,2010,1
SAF,2016,2
SAF,2019,1
SAL,1989,59
SAL,1990,45
SAL,1991,10
SAL,1992,1
SEN,1989,3
SEN,1990,14
SEN,1991,7
SEN,1992,17
SEN,1993,30
SEN,1995,39
SEN,1996,2
SEN,1997,32
SEN,1998,31
SEN,1999,9
SEN,2000,25
SEN,2001,12
SEN,2002,15
SEN,2003,5
SEN,2004,1
SEN,2005,1
SEN,2006,4
SEN,2008,3
SEN,2009,11
SEN,2010,9
SEN,2011,14
SEN,2012,10
SEN,2013,4
SEN,2018,1
SIE,1991,126
SIE,1992,63
SIE,1993,69
SIE,1994,162
SIE,1995,197
SIE,1996,100
SIE,1997,135
SIE,1998,363
SIE,1999,198
SIE,2000,64
SIE,2001,15
SOM,1989,34
SOM,1990,53
SOM,1991,19
SOM,1992,18
SOM,1993,20
SOM,1994,37
SOM,1995,71
SOM,1996,84
SOM,1997,27
SOM,1998,18
SOM,1999,38
SOM,2000,27
SOM,2001,30
SOM,2002,61
SOM,2003,49
SOM,2004,53
SOM,2005,26
SOM,2006,79
SOM,2007,290
SOM,2008,276
SOM,2009,253
SOM,2010,311
SOM,2011,274
SOM,2012,485
SOM,2013,389
SOM,2014,433
SOM,2015,312
SOM,2016,340
SOM,2017,237
SOM,2018,434
SOM,2019,367
SPN,1989,12
SPN,1990,10
SPN,1991,22
SPN,1992,15
SPN,1993,6
SPN,1994,9
SPN,1995,10
SPN,1996,4
SPN,1997,11
SPN,1998,6
SPN,2000,15
SPN,2001,12
SPN,2002,4
SPN,2003,2
SPN,2004,1
SPN,2007,1
SPN,2008,2
SPN,2009,2
SPN,2011,1
SRI,1989,192
SRI,1990,244
SRI,1991,316
SRI,1992,180
SRI,1993,111
SRI,1994,80
SRI,1995,252
SRI,1996,121
SRI,1997,135
SRI,1998,179
SRI,1999,184
SRI,2000,177
SRI,2001,136
SRI,2002,5
SRI,2003,23
SRI,2004,36
SRI,2005,83
SRI,2006,229
SRI,2007,488
SRI,2008,1016
SRI,2009,387
SRI,2011,2
SRI,2013,1
SRI,2017,1
SSD,2011,12
SSD,2012,42
SSD,2013,89
SSD,2014,122
SSD,2015,91
SSD,2016,64
SSD,2017,115
SSD,2018,150
SSD,2019,57
SUD,1989,32
SUD,1990,61
SUD,1991,32
SUD,1992,57
SUD,1993,79
SUD,1994,18
SUD,1995,36
SUD,1996,42
SUD,1997,77
SUD,1998,122
SUD,1999,63
SUD,2000,69
SUD,2001,71
SUD,2002,38
SUD,2003,100
SUD,2004,196
SUD,2005,75
SUD,2006,128
SUD,2007,60
SUD,2008,76
SUD,2009,71
SUD,2010,76
SUD,2011,173
SUD,2012,132
SUD,2013,143
SUD,2014,159
SUD,2015,366
SUD,2016,256
SUD,2017,66
SUD,2018,100
SUD,2019,90
SYR,2004,2
SYR,2011,952
SYR,2012,9256
SYR,2013,12417
SYR,2014,12141
SYR,2015,7034
SYR,2016,5178
SYR,2017,3961
SYR,2018,2093
SYR,2019,1887
TAJ,1992,38
TAJ,1993,35
TAJ,1994,31
TAJ,1995,47
TAJ,1996,66
TAJ,1997,10
TAJ,1998,19
TAJ,1999,1
TAJ,2000,2
TAJ,2005,1
TAJ,2006,3
TAJ,2009,7
TAJ,2010,21
TAJ,2011,5
TAJ,2013,2
TAJ,2019,1
TAZ,1992,1
TAZ,1999,1
TAZ,2001,7
TAZ,2018,1
THI,1992,1
THI,1993,1
THI,1997,1
THI,1998,1
THI,2003,16
THI,2004,126
THI,2005,433
THI,2006,445
THI,2007,366
THI,2008,224
THI,2009,169
THI,2010,154
THI,2011,180
THI,2012,141
THI,2013,136
THI,2014,71
THI,2015,55
THI,2016,49
THI,2017,27
THI,2018,40
THI,2019,27
TOG,1991,4
TOG,1992,2
TOG,1993,3
TOG,1998,4
TOG,2005,93
TOG,2019,1
TRI,1990,3
TUN,2015,2
TUN,2016,8
TUN,2017,2
TUN,2018,6
TUN,2019,4
TUR,1989,63
TUR,1990,69
TUR,1991,133
TUR,1992,330
TUR,1993,482
TUR,1994,613
TUR,1995,528
TUR,1996,338
TUR,1997,278
TUR,1998,242
TUR,1999,257
TUR,2000,26
TUR,2001,31
TUR,2002,18
TUR,2003,30
TUR,2004,118
TUR,2005,175
TUR,2006,92
TUR,2007,133
TUR,2008,118
TUR,2009,47
TUR,2010,67
TUR,2011,125
TUR,2012,131
TUR,2013,8
TUR,2014,7
TUR,2015,240
TUR,2016,304
TUR,2017,138
TUR,2018,241
TUR,2019,228
UCB,2000,1
UGA,1989,24
UGA,1990,33
UGA,1991,19
UGA,1992,4
UGA,1994,18
UGA,1995,27
UGA,1996,140
UGA,1997,90
UGA,1998,133
UGA,1999,91
UGA,2000,126
UGA,2001,66
UGA,2002,185
UGA,2003,195
UGA,2004,286
UGA,2005,241
UGA,2006,111
UGA,2007,37
UGA,2008,68
UGA,2009,220
UGA,2010,89
UGA,2011,109
UGA,2012,36
UGA,2013,38
UGA,2014,75
UGA,2015,42
UGA,2016,27
UGA,2017,29
UGA,2018,63
UGA,2019,54
UK,1989,29
UK,1990,34
UK,1991,32
UK,1992,30
UK,1993,34
UK,1994,16
UK,1996,2
UK,1997,4
UK,1998,3
UK,2000,1
UK,2001,1
UK,2002,4
UK,2003,2
UK,2004,1
UK,2005,1
UK,2006,1
UK,2009,2
UK,2011,1
UK,2019,1
UKR,2014,272
UKR,2015,260
UKR,2016,125
UKR,2017,186
UKR,2018,153
UKR,2019,172
USA,2001,41
USA,2002,59
USA,2003,12
USA,2004,88
USA,2005,47
USA,2006,29
USA,2007,26
USA,2008,41
USA,2009,37
USA,2010,102
USA,2011,28
USA,2012,46
USA,2014,5
USA,2016,9
USA,2017,18
USA,2018,7
USA,2019,8
UZB,1999,10
UZB,2000,32
UZB,2004,8
UZB,2006,4
UZB,2009,2
VEN,1989,28
VEN,1990,66
VEN,1991,38
VEN,1992,75
VEN,1993,75
VEN,1994,47
VEN,1995,45
VEN,1996,53
VEN,1997,5
VEN,1998,14
VEN,1999,41
VEN,2000,38
VEN,2001,50
VEN,2002,28
VEN,2003,40
VEN,2004,50
VEN,2005,32
VEN,2006,21
VEN,2011,1
VEN,2013,1
VEN,2017,16
VEN,2019,6
YEM,1994,72
YEM,2003,1
YEM,2004,1
YEM,2009,5
YEM,2010,63
YEM,2011,213
YEM,2012,249
YEM,2013,126
YEM,2014,271
YEM,2015,509
YEM,2016,318
YEM,2017,320
YEM,2018,336
YEM,2019,173
YUG,1991,250
YUG,1992,83
YUG,1996,3
YUG,1997,5
YUG,1998,221
YUG,1999,346
ZIM,1995,2
ZIM,1998,1
ZIM,1999,2
ZIM,2001,1
ZIM,2003,1
ZIM,2007,2
ZIM,2008,40
ZIM,2009,1
ZIM,2011,1
ZIM,2012,1
ZIM,2018,2
ZIM,2019,8
